userName,score,at,content
Ady Yasa Zuhri,1,2024-03-30 05:02:20,"agennya nipu, uda langganan 300 ribu buat fokus try out utbk, malah disuruh langganan lagi, buang buang duid gw, uda agennya maksa pas di tanya cuman fokus ”kakak bantu klaimkan” bukannya dijelasin, rugi hgt duid gww, nyesel banget ya Allah"
Arsy HaffafAmara,5,2024-03-30 01:18:52,enak belajar di ruang guru banyak fitur menarik dan kita bisa milih paket sesuai keinginan kita terus video-video nya tuh singkat jadi gak ngebosenin lebih ditingkatkan lagi sih kataku
Naila Sabrina,3,2024-03-29 16:02:50,"Agak aneh apk nya Saya udah try out kuota tryout udah habis ,tapi ga bisa lihat hasil pencapaian aneh kan"
black soul official,5,2024-03-29 02:10:47,Bagus
Kenzie Tama,5,2024-03-28 15:43:55,"UTBK 2022, Sekarang semester 4 di Tekkom Undip"
Vincent Jilivander,1,2024-03-28 14:00:24,Pembelajarannya mudah di mengerti
Sapta Aliansyah putra,1,2024-03-28 10:31:04,Opsi jawaban pada latihan soal tidak terlihat alias kekecilan
Gracyta Istara,5,2024-03-28 10:03:37,Menjadi semangat belajar
jangan lupa 3bnyadek,5,2024-03-28 07:48:04,luar biasa
aditiya fraditta,5,2024-03-28 05:55:46,bagus
Dafa Aditia,5,2024-03-28 01:38:37,"Penjelasan materi yang diberikan sangat mudah dimengerti dan dipahami,mungkin kadang ada kendala di server yg kadang eror,sukses selalu ruang guru"
Rahmawati S Ag,5,2024-03-27 23:48:09,SDN 559 Kamburi II Kecamatan Kamanre Kab Luwu Raya Kota BELOPA ptofensi SULAWESI Selatan
Alif Alfaruqi,5,2024-03-27 14:19:11,Bagus tapi tonton nya bayar semua
dora,2,2024-03-27 12:07:50,ngelag bgt yatuhan
Putra Antok,5,2024-03-27 10:10:24,Sanga bagus 👍👍
Desy Maisaroh,5,2024-03-27 06:34:22,Nama desy Maisyaroh masukan ruwan huru smp batinsolapan
Andriani Siahaan,5,2024-03-27 02:41:11,Aku akan masuk Manajemen UNESA dan lolos UTBK SNBT 2024 Aminnnnn
Kepo Anjing,5,2024-03-26 15:22:31,sangar
Rafa Aqila 11 IPS 4,1,2024-03-26 13:48:44,Saya kasih 1 karena pembahasannya masih amburadul dan salah. Tolong berikan pembahasan yang lebih tepat.
Tarisa Wahyuni,5,2024-03-26 12:00:52,I love you
Zizi Inqi,1,2024-03-26 10:09:58,ga jelas
Arie Purwanti,1,2024-03-26 08:23:34,Ternyata mbayar yah kirain gratis 😭
05.8D. Gusti Ayu Cantika Trisna Dewi,5,2024-03-26 04:12:26,BAGUSS BANGETTT-!! MUDAH DIMENGERTIII💓💓💓
Elsa Fadilah,1,2024-03-26 02:53:20,"langganan aplikasi tidak sesuai deskripsi, tidak bisa mengajukan pergantian pembatalan langganan (padahal dari rg nya yang salah)"
Gilang Abdian,3,2024-03-25 18:43:20,Sinyal bagus tapi ngelag banget njir di hp gua
Fakhri Rizky,5,2024-03-25 15:20:12,"Sering ngebug pada menu pembelajaran terdapat tulisan ""sedang terjadi kesalahan sistem"" Dan itu sering sekali bukan karena signal atau kecepatan internet karena sudah di pastikan internet saya kencang, sering terjadi bug seperti ini membuat saya jadi tidak mood, tolong di perbaiki sistem atau servernya"
Delvina Agres Tambunan,5,2024-03-25 14:23:55,Bagus karena guru nya ceria baik dan sabar dalam mengajar walaupun online
Maddolangan Dgbella,5,2024-03-25 13:33:59,Bagus
Video Upin & Ipin,1,2024-03-25 12:13:59,"habis update UI app jadi jelek dan sering ngebug, maaf ak kasi rating 1, ga suka sama UI"
Helventien Harefa,5,2024-03-25 10:49:36,Bagus aplikasinya
Ketut Suladri,5,2024-03-25 09:34:29,Pelajaran lebih lanjut
Zaskia Rista,5,2024-03-25 09:07:13,"Seruuuuu bangettt belajar di ruangguru, selain ada animasi juga ada kuis di tiap video belajarnya, jadi kita bisa lebih paham lagi terkait materi yang sudah diberikan sebelumnya"
Intan Bkl,5,2024-03-25 07:18:53,Ini sangat seru🤩
NAFISA PUTRI GISWANA,5,2024-03-24 22:43:17,"aplikasi bagus bangetttttt, pokoknya jangan di raguin lagi deh, yuk daftar kan diri mu menjadi murid ruangguru 😄"
Dzarin Rizqi A,4,2024-03-24 22:28:24,Lemottt aplikasinya
Meti Mardiana,5,2024-03-24 22:25:34,😁😁😁
FARMA ARDAN D.Y.P.,3,2024-03-24 22:00:38,Mohon untuk memperbaiki fitur drilling soal karena saat saya mengerjakan soal maupun jawaban ngeglitch dan tiba-tiba hilang kalimatnya
Kader Setiawan,1,2024-03-24 21:36:29,"Apalah, Salah satu mata pelajaran gak bisa dibuka gara gara loading terus terusan, sedangkan pelajaran yang lain bisa + wifi aman. Terutama saat Mata Pelajaran Sejarah,Sosiologi dan Geografi. Saya harap pihak Dev bisa mengatasinya"
PPTI 374 Jeremi M. Sibarani,2,2024-03-24 09:22:23,"Drill soalnya ga bisa discroll, jadinya saya ga bisa lihat soalnya. Hanya sebagian teks yg terlihat."
Novi Noviana,5,2024-03-24 07:23:46,Bagus untuk belajar
Tama Andrea,5,2024-03-24 03:34:53,Bagus
Griya Lestari,5,2024-03-24 00:24:40,Sumpah bagus banget!!! Kalian wajib download yaa... Pokoknya bgus deh apk ruang guru ini
When I See,5,2024-03-23 05:47:05,Gacorrr
Alma Hira,5,2024-03-23 04:01:52,"Aplikasi nya bagus banget buat belajar kita bisa lebih cepet paham dan materinya lengkap mulai sd, smp, sma, dan smk"
Nelson Collin,1,2024-03-23 02:07:29,Kalo mau belajar gk bisa dilock
Sar Jono,5,2024-03-23 02:00:29,Aplikasinya bagus
ilham hanafi,4,2024-03-23 00:56:20,Kok gak bisa masuk sih tolong perbaikinya
Fransiskus Aja,1,2024-03-22 23:40:48,Koq kuis di konsep kilaat gk bisa dibuka? Padahal uda berlangganan loh Bru 3x pemakaian. Solusinya gimana?
safira bela,5,2024-03-22 14:02:29,bagus
Hasna Faucha Aqiela,3,2024-03-22 07:42:45,"Cuma bisa kasih bintang 3 soalnya masih ada yang kurang, dari aplikasi nya masih suka lemot walaupun hp nya tidak ada masalah, kalau misal habis liat video trus lanjut ngerjain kuis itu tidak bisa langsung ke kuis nya, nunggu dulu. Kan ngeselin kalo lagi buru² Trus dari pelajaran, memang bagus bgt sih itu penjelasan nya tapi sayangnya disini masih belum apa pelajaran pjok atau olahraga ya,,, sisa nya udah bagus sih 👍"
Juana Herna,5,2024-03-22 06:56:13,Mantap
Betrik Bta,5,2024-03-22 04:42:14,Aplikasinya bagus
wima handika nugaraha,5,2024-03-22 03:10:48,Seru banget balajar di ruang guru
Pak Muhsin,1,2024-03-21 18:05:37,"Kecepatan 22 Mbps, tapi gak bisa klaim voucher, udah 5 menitan muter² aja. Untung belum terlanjur langganan."
Bilqis Kaya,5,2024-03-21 14:17:56,Aplikasi ini bagus banget untuk aku
Paula Manaruri,5,2024-03-21 13:19:15,Oke🥰🥰
Yustinus Alexsander,5,2024-03-21 11:57:55,Aplikasi ini sangat bagus kalau penjelsanya lengkap banget langsung ngerti
ax el,5,2024-03-21 11:25:29,Gara Gara ini IQ KU NAIK😁👍
Adry Daea,5,2024-03-21 08:11:57,Sangat membantu
Olinda Fitri,1,2024-03-21 07:55:07,Halo perkenalkan nama ku olinda awalnya aku kira bagus aplikasi nya ternyata apa an gak sama sekali bagus aku udah susah payah nulis jawaban eee gak di jawab terus juga aku pakai robo guru sama juga gak ada sama sekali sesuai dengan pertanyaan ku kok gitu sih ruang guru bikin aplikasi kok gak sama sekali bagus aku kecewa banget pokok nya 😔😔😔😔☹️☹️
Fernando Ozora,3,2024-03-20 20:36:02,"Menurut saya dulunya ini aplikasi yang bagus, sekarang saya menyesal karena perpanjang paket dan semenjak itu juga ruang guru saya ngebug trs latihaj soal soal nya kalau gak ilang salah satu atau 2 opsi jawaban hilang di update bukanya makin bagus malah makin jelek"
Adinda Ramdhani,1,2024-03-20 12:53:50,Kok enggak bisa di donlowat udah 5× aku donlowat tapi tetap enggak bisa tolong ya di perbaiki nanti kalo udah aku kasi rentng 5deh
RajaSomba20,5,2024-03-20 08:02:05,"Bagus bgttt, aku suka dan bisa menambah ilmu lebih luas, aku yg belum paham bgt dgn pecahan campuran skrg jadi bisaa"
Karunia Jaya,5,2024-03-20 07:07:33,Ini aplikasi sangat membantu untuk saya Saya yang belajar paket b begitu bingung mau ngapain. Untung ada aplikasi ini Dan saya bisa belajar banyak hal
Murdi Murdi,5,2024-03-20 06:48:16,Applikasi ini bagus baget coco² yang udah mendaftar ruang guru by ruang guru
Abdurrahman Rasyid Hadi,4,2024-03-20 05:55:57,"Bagus sih,cuman setiap kali aku masuk ke aplikasinya harus lengkapin data sekolahku,padahal sudah aku lengkapin setelah aku login. Tolong diperbaiki ya🙏😊."
Diva Zuhbatul Nabila,5,2024-03-20 05:01:25,Mudah dimengerti
YULI,5,2024-03-20 04:59:42,Aplikasinya sangat bagus memudahkan untuk belajar
Willy Sulaiman,5,2024-03-20 04:36:52,Mantep nih Aplikasi.. Ny. Tapi tolong dong ini guru ny bener guru apa g ya
Jimmi Suryadi,1,2024-03-20 03:28:51,Rabig
Najwa Wa,5,2024-03-20 02:05:39,Good banget
Hengki IrawanHi8080,5,2024-03-20 01:41:28,Top
Azka Auliya Nurazizah,5,2024-03-20 00:13:45,"Ruangguru bantu banget belajar akuu duendhsjsj, suka banget deh🐝 penjelasan nya gk belibet dan aku bisa langsung ngerti hee, apalagi pake Adapto"
Sausan Kamilah,1,2024-03-19 17:00:20,Mls ga ngerti pusing ngantuk nonton videonya nangis cape malas 😪😪😪😪😪
Susanti santi,5,2024-03-19 15:49:15,Bisa mudah mengerjakan mtk
ALISYA KAYLA PUTRI BAIHAQI04,1,2024-03-19 09:09:13,makin kesinii makin sering keluar sendiri jujur sedih 😭😭
Siti andira Kinaya,5,2024-03-19 06:07:35,sangat bagus
Revandi Febrian Artaneza,2,2024-03-19 06:01:45,"Kekurangan apk ini adalah tidak ada nya premium. contoh Rp 7,000 3 hari menonton video jadi nya enak belajar nya tidak kemahalan karena beberapa anak ingin belajar lebih mudah"
Amarayneta Amarayneta,5,2024-03-18 20:43:00,Ruang guru sangat bagus saya bisa mendapatkan soalnya dari ruang guru
Ibu Eti Gusnita,1,2024-03-18 15:32:10,Harus bayar aku pertama mau nonton pelajaran tapi di stop adehhĥhh bagiku gak seru belajar dengan aplikasi ini
Marion Jordan,5,2024-03-18 13:01:49,Appnya bagus
mina octaviana62,3,2024-03-18 11:10:21,"buatlah semua mapel ada rangkuman, jangan hanya beberapa, itu membuatku kesulitan"
Samsung A14,5,2024-03-18 10:44:06,Bagus banget bisa belajar nihh aku sangat luar biasa
06 - Ariyani H.,2,2024-03-18 09:32:11,"Gabisa download di pc, payah bgt 👎🏻👎🏻"
siti lestari,5,2024-03-18 07:57:19,Bagus banget aplikasinya 👍 anak saya jadi ketagihan terus buka ruang guru makasih banyak sudah menciptakan aplikasi untuk belajar menjadi lebih seru
Melani Kresna,5,2024-03-18 01:24:41,sangat membantu
Mughni Anwar,5,2024-03-17 14:52:55,Sangat membantu sekali
SHS GAMEZONE,5,2024-03-17 08:38:20,Ok gasss
AfifahAzuraAdwaVardha,3,2024-03-17 06:25:27,"Bagus sih ,tapi kurang PAI itu kan pelajaran juga tapi kok g ada?"
I made Oka adnyana,1,2024-03-17 03:30:30,Aplikasi jelek
Elisa Imanuella,4,2024-03-16 13:11:22,"Entah kenapa semenjak tampilan drill soal diperbaharui, sistemnya sering nge-lag, soal gak muncul atau pilgan gak lengkap. Pembahasan jg gak bisa digeser ke kanan jadi gak bisa lihat"
Liya Lisa,5,2024-03-16 11:51:16,Pengalaman
Jantan Perkasa,5,2024-03-16 10:09:15,bisa belajar
Marsel Agustia,5,2024-03-16 08:56:32,Support 👍👏👏💋💋💋💋💋💋
Lattenim Latte,1,2024-03-16 08:55:39,Soal tidak muncul dan tulisan soal malah dibagian lain jawaban(?)mentang mentang drill soal gue gratis kali yak hahah
Farhan Rizki Romadhoni,5,2024-03-16 08:53:28,Worth it karena terdapat pembahasan soalnya
Milca Amaira,4,2024-03-16 05:56:08,"bagus !! Animasi dafa lulu seru bangeet , tapi sayang nya banyak yg berbayar.Jadi susah kalo mau belajar apalagi yg kelas VI tentang pubertas hadeuh BAYAR SEMUAAAAA !! pls banyakkin yg gratis!!banyak yang ga mampu lohh :(("
Cahya Helmy,5,2024-03-16 03:34:23,Sangat bagus
Natasya Vita,5,2024-03-15 15:00:59,Kece abiss siihh aplikasinya..
Ghina Shamira,3,2024-03-15 13:08:17,"Sebenarnya sudah cukup bagus, tapi kenapa ya ketika saya ingin mengerjakan soal, pertanyaan dan jawabannya itu tidak muncul??"
Yatisana Siloto,5,2024-03-15 10:43:41,Baik untuk ruang belajar(⁠^⁠^⁠)(⁠T⁠T⁠)
Syasya Azzahra Leviana,5,2024-03-15 07:42:33,Sekarang malah sering error apa lagi kalo pake ipad
Al Farouqi,2,2024-03-15 00:13:07,Sistemnya error
Sekolah Moba,1,2024-03-14 21:50:48,"Dari segi fitur lengkap banget, tapi dalam penyajian materi terbelit2 bikin ngantuk, adapto lumayan sih langsung ke intinya tapi dari segi penyampaian materi kalah telak sama tutor2 zenius."
Bidan_ Siti Hilmia,5,2024-03-14 14:47:44,"Pembelajaran mudah di pahami, kelas online nya sangat lengkap tidak sia-sia jika ambil paket bimbel disini, materi semuanya keluar tertata dengan rapih"
Mohamad Asmar,5,2024-03-14 14:13:17,"App nya bagus,pembelajaran nya juga sangat Mudah dan cepat tanggap Gak nyesel pokonya pake app ini"
Cmw Liaa,4,2024-03-14 13:45:02,Bagus
wanda frieskha,5,2024-03-14 12:54:54,Bagus
Ayee Sa,5,2024-03-14 08:08:08,Bagus
Farel Pager,2,2024-03-14 02:41:23,Apa kah aplikasi ini tidak ada fitur ai nya gitu dasar brong tapi ya lumayan lah saya harap ada fitur ai nya supaya bisa Nanya sepuasnya
Jonly Kapoh,5,2024-03-13 15:35:48,Aplikasi yang sangat membantu untuk kami para orang tua yang tidak sempat menemani belajar anak-anak dirumah...Biaya juga sangat ramah dikantong.
Musdalifah Musdalifah,1,2024-03-13 14:12:12,Gak mau gua kalo aplikasi berbayar gini udah gajelas malah bayar nya mahal semua aah bosen ahhh malem2 suka spam telepon dan chet gausah gitu lah suka harus lanjut langganan anda goklok jadi jangan spam lagi ya aku bosen banget
Nila Kamalia,5,2024-03-13 12:08:24,Semoga aku bisa pitara
22_Najwa Aulia Jasmin (Jasmin),4,2024-03-13 08:04:49,"So far dari materi sama penjelasan udah lengkap banget. Tapi ada satu hal yang bikin gemes, pas mau nonton video materi mesti ga bisa, ngeload terus akhir akhir ini. Udah diupdate tp ttp aja ga bisa. Padahal koneksi lancar bgt buat sosmed dll bisa, tapi cuman di rg yang lemot bgt. Plis tolong, udah langganan buat 2 tahun kedepan, jadi sia sia mbayarnya huhu dan ganggu banget pas mau belajar jadi ngurungin niat keburu males duluan :("
Dzaky Naufal,2,2024-03-13 05:18:16,Lambat mau mau nya tolong dipercepat yah
Rindi,5,2024-03-12 22:42:41,"fitur drill nya nge bug, tolong diperbaiki, setiap saya menggunakan fitur drill, beberapa jawaban selalu tidak muncul, sehingga tidak bisa memilih jawaban yang benar, dan tampilannya sering bug"
Petrus Satria,5,2024-03-12 08:34:10,Kurang Satu
Iqbal Rowo,3,2024-03-12 05:54:27,Kenapa loading terus saat memutar video
Sabam Purba,4,2024-03-12 04:44:52,Semoga bermanfaat bagi kalian yang udah donwload ruang guru
smile,5,2024-03-12 03:30:15,Sangat bagus belajar disini
Mackenzie Chuanata,5,2024-03-12 02:58:12,Bagus banget
xiaomi aja,5,2024-03-12 02:18:09,Aplikasi Terbaik Untuk Membimbing Anak Anak Saya Ucapkan Terimakasih Pada Ruangguru
Barbalina Rumahlatu,5,2024-03-11 10:25:29,Aplikasi ini bisa membuat saya menjadi pintar
Moel Yana,1,2024-03-11 08:00:45,Kok jadi egga bisa
Zety Zaskia Bayanudin,5,2024-03-10 15:06:27,my hero! 🫶🏻
Asma Yusuf,5,2024-03-10 14:37:13,Saya sangat senang belajar diruangguru.kaya bermain game. Pokoknya enak banget
Ananda Rakha Putra,5,2024-03-10 10:49:31,Tampilan atau UI-nya sangat user friendly. Video penjelasan sangat mudah dipahami. Overall mantap sih 🙏
Englien Kakomore,1,2024-03-10 02:10:53,"Katanya gratis pas udh download mlh di suruh bayar, pake nelpon segala lagi😒,trus disuruh bayar ,penipu😏👎🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻penipu🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻 Mudah-mudahan usaha kalian bangkrut 😏 Amin 🙏"
Mirza Putri,4,2024-03-10 02:08:10,Sekarang kasi ranting 4 dulu sementara karena belum tau cara pakeknya
Lunan Lay,5,2024-03-09 23:30:46,Alhamdulillah ruang guru sangat mudah dan cermat
Fabian Abhista Priya,5,2024-03-09 14:00:10,"Mantap, aplikasi nya ngedukung anak buat belajar.., dan materi nya jelas dan dapat di pahami..terima kasih ruang guru 🤗😇"
Angnes Nes,5,2024-03-09 12:49:41,Aplikasi nya bikin aku jadi pintar semua biasa di mengerti aku jadi bisa ngerjain semuan nya aku kasi bintang 5 ya kak
Akira Rafika,5,2024-03-09 10:26:58,"Suka banget sama video pembelajaran yang menarik, master teacher nya juga seru2 dan ga pernah ngebosenin, nyesek baru nyoba sekarang!, dan aku jadi rajin belajar karna ga mau nyia-nyiain kesempatan langganan aku, saran sama masukannya, tolong tambahin pelajaran kewirausahaan dong kak! Dan aku pengen di ruang guru di tambahin fitur flash card kak! Biar belajar tambah seru, karna metode belajar flash card efektif banget loh"
Rara 7890,5,2024-03-09 09:44:56,Bagus sekali
Ahmad Haidar,5,2024-03-09 09:33:56,"aplikasinya ruangguru bagus, sangat interaktif, banyak sekali perkembangannnya, apalagi fitur fiturnya, saya suka sekali sama fitur ""konsep kilat"", dimana fitur ini ngebantu saya jika disuruh membuat catatan, dikarenakan isi materi di konsep kilat sudah di ringkas supaya mudah dipahami oleh pelajar, terimakasih ruangguru !"
Jeje Sahab,5,2024-03-09 07:49:11,"Aplikasi belajar yg bagus,vidio pembelajaran mudah dimengerti dan Harga terjangkau ,pokoknya bagus aplikasinya 👍👍"
Celsi Mimat,5,2024-03-09 06:17:37,Bagus
Brian Yefta,1,2024-03-09 03:11:37,To nya g ada soal sama jawabanya padahal udah beli yg premium
#Budi Mebel YouTube #,5,2024-03-08 15:48:33,Kodeator
Denis. 11,4,2024-03-08 15:06:24,"Menurut saya penjelasan nya bagus untuk yang konten Indonesia, tapi untuk konten bahasa Inggrisnya menurut saya kurang. Dari tonasi dll nya masih agak kurang penyampaian nya terdengar flat dan kurang aja si menurut saya"
Ais yah,4,2024-03-08 13:53:52,Sangat membantu
Dede Sunarya,2,2024-03-08 12:54:32,kenapa saya tidak bs mendounlod ruang guru ya saya sudah cba ber× kali ?
Nurlettearil Kebuncenkeh123,4,2024-03-08 10:40:45,Bagus saya suka memakai rungguru
Azkayra H.y.a,5,2024-03-08 08:47:37,Sangat tepat belajatlr fisini
Intan n,5,2024-03-08 07:35:22,"ngebantu belajar bnget sii, fiturnya ga pelit aseli👍sepadan juga sama harganya wkwk"
Zyka Ka,5,2024-03-08 05:26:50,Wah terimakasih ya ruang guru telah membantu saya mengerjakan soal dan pr saya saya sukaa sekalii😍😍🎉🎊🎊🎊🥰🥰💅🏻💙💙❤❤
Kayla Sqila,5,2024-03-08 04:10:18,"detail banget belajarnya, mudah di tangkep ke otak, jujur ya aku baru 2 hari belajar MTK sama tentang perekonomian langsung paham pembelajarannya. terus di selipin juga soal pemantik biar kita beneran ga ni menangkap materi nya(menurutku). dan bagus nya juga ruangguru tuh dia apk nya nyaman di gunain, ga ribet juga. keren deh, btw SUKSES TERUS RUANGGURU!!!"
YOSUA ALBERT MARTUA TAMBUNAN,2,2024-03-08 00:28:40,"Fitur Drill soal tolong diperbaiki, pilihan ganda selalu hilang bahkan terkadang yang hilang soalnya, saya kerjain apa jadinya🤷"
Zaqky Bisma Nugroho,1,2024-03-07 16:19:18,Minta tolong dong kalo malem jangan ada lag terus setiap malem pasti ada gangguan membuat tidak nyaman
Arini Ramadhanti,3,2024-03-07 15:30:03,Kak kenapa kok pas kirim chat WA ke ruang guru itu lama sekali ya di balesnya🙏
Studih_idih hh,1,2024-03-07 13:42:39,"Kesel banget udah berhari hari gabisa memuat videonya, padahal jaringan udah kenceng bgt, tolong diperbaiki, saya langganan ruangguru udah lama padahal, jadi sedikit kecewa"
Sri Madhina,5,2024-03-07 13:15:39,aplikasi ini sangat membantu! thank a lot ruangguru👍🏼
Maryati 123,5,2024-03-07 08:24:27,Bagus sekalin anak saya jadi ringking 1 nice
Salmiah idr,1,2024-03-07 06:45:05,Jelek masa harus berlangganan buat liat Vidio lengkap nya
saaih hailntar Firmansyah,5,2024-03-07 04:11:02,Out
Dianerpalina,5,2024-03-06 22:47:48,Mudah dimengerti
Zakariya,5,2024-03-06 18:32:20,"Aplikasi belajar terbaik, ini sangat bagus buat kita bisa belajar kapan saja dan dimana saja,dan penjelasan nya sangat mudah di mengerti dan dipahami, dan biaya nya pun bisa di jangkau setara dengan ilmu yang kita dapat. 👍👍"
XÐ_ FÅÚZÍ,1,2024-03-06 17:53:16,Ngelag banget padahal ada jaringan tapi kendala terus aplikasinya
Fuad _92,5,2024-03-06 13:35:46,The service was good
Zaskia Permadani,5,2024-03-06 12:46:53,Bagus bangettt ruang guru nya untung ada ruang guru jadi kalo ada pr atau soal yang susah jadi bisa ke aplikasi ruang guru dehh mantapp🖒🖒👏👏
Pahala Hasibuan,5,2024-03-06 08:35:50,Bermanfaat bagi guru dan murid agar makin memahami
Anindya,2,2024-03-06 07:39:54,"Ailafyu ruang guru, tpi pls berhenti spam nomer wa ku dngn diskon penawaran dll 🫶🫶🫶"
Diana Rahayu Anggraeni,1,2024-03-06 06:05:44,Kak ini video ruang belajar buat semua mapel masih nggak bisa diputar kak tolong diperbaiki lagi
Joko Widodo,5,2024-03-05 22:32:21,Bagus banget
Ardhi,3,2024-03-05 13:45:17,"Kebanyakan update yang ga penting, sekarang mau buka ruangbelajar sering banget ngestuck loading, mending optimasi di bagian yang penting aja"
ghaisan damia,1,2024-03-05 13:40:08,Banyak bug dikarenakan sistem katanya soalnya pakai wifi yg 100 Mbps masih bermasalah video nya gak bisa ditonton dan biasa nya tiba tiba video nya seperti belum langganan cuman bisa 1 bab mohon cepat di benarkan
Khatim Mudzanah Widya,1,2024-03-05 13:33:27,"Apa sih masalah mu, kenapa mau dibuka ngak ada satupun materi yang muncul padahal udah bayar mahal-mahal.. Kenapa aplikasinya makin jelek sih, ngak guna banget yang ngurus bagian sistem dan IT nya"
opo true,5,2024-03-05 13:26:25,"Aplikasi yg sangat bagus, mempermudah siswa belajar dan membuat belajar pun lebih menyenangkan, semoga ruangguru dapat terus berkembang dan mendidik murid lainnya dengan menyenangkan juga🙏"
Abiyyu Aja,1,2024-03-05 13:09:09,Server lemot
AHENG NAZARIUS,5,2024-03-05 13:05:42,Sangat membantuku untuk belajar sekarang gak se lag dulu
MFMS 48,1,2024-03-05 12:58:35,"Woy, sudah berlangganan mahal-mahal, ketika di pake malah terdapat jaringan bermasalah padahal sudah di cek hasilnya 24 Mbps. Sudah ditanyakan lewat aplikasinya langsung tidak di respon. Maunya apa ini!!"
Hanifah,5,2024-03-05 12:32:01,kak aku mau belajar tapi leg banget pas buka ruangguru tapi buka apk lain lancar
Sello Ganteng,5,2024-03-05 10:50:36,Aku jadi mudah untuk mengerjakan tugas
Naila Wafida,1,2024-03-05 08:04:29,Tidak ada jawaban dan soalnya ini aplikasi apaan mending jangan di donglot deh nnti nyesal
Agus Ifan,5,2024-03-05 00:34:44,Bagus karena Ap ini gratis
Ardi,5,2024-03-04 21:03:51,Bagus banget pokoknya
Satria Desfian,5,2024-03-04 16:57:57,Apk nya mantap kali
Rita Zaini,5,2024-03-04 14:15:39,I REALLY REALLY LOVEEE UU RG!!!!
MUTIAH MIFTAHUL JANNAH,1,2024-03-04 12:11:54,aplikasi nya sering error 🥲🥲🥲🥲
Suka Mamah Muda,1,2024-03-04 11:01:07,Ngelag coy
Sudrajat T,5,2024-03-04 10:17:33,Bagus
Mulyadi Jamil,5,2024-03-04 09:35:36,Aplikasi nya seru dan bikin paham!
Triasdevi Larasati,5,2024-03-04 08:24:55,"Ini aplikasi baguss!!😍 Bagi yang mau pinter dan ingin mencari tau, mending kesini deh👉📱😁"
Zaskia Naomi,5,2024-03-04 05:10:20,Alhamdulillah sejauhh ini gda problem klo mau belajar 👍🏻⭐
Putri Putri,5,2024-03-04 04:34:37,Bagus banget
Jubel Panjaitan,3,2024-03-04 02:58:59,Mungkin membantu
Maiza Maiza,5,2024-03-03 14:20:16,"Aku suka! Penjelasannya sangat mudah untuk dipahami, Dan ada juga latihan atau quiz saat selesai nonton video nya jadi suka belajar dehh!! 💓"
Felix,5,2024-03-03 13:27:16,baru nyoba
reyz Niceee,5,2024-03-03 13:20:25,Bagus
Sayyid arif,5,2024-03-03 12:53:31,Bagus
Kaubau Kambing,5,2024-03-03 12:48:03,Mantap
Rukinah 123,5,2024-03-03 11:18:43,Bagus
Aqlan Hanafi Idris,1,2024-03-03 09:24:29,"ga jelas masa udh langganan 3 tahun jaringan baik"" saja lancar tidak ada masalah sudah update tetapi tidak bisa menonton vidio belajar hanya ada tulisan"" Gagal memuat vidio"" yuk coba lagi sudah berhari hari bug masalah jaringan seperti ini padahal saya mau belajar untuk ujian asts 👎👎👎👎🙏😪😪😪"
Radyah,5,2024-03-03 08:01:58,bagus buat belajar
guwita atlhari,5,2024-03-03 01:35:12,Sangat berkelas aplikasi belajar dengan mudah dan cepat di pelajari.
Yusitifa Craft,5,2024-03-02 22:40:12,Bgs.
Naufal Fauzan,5,2024-03-02 12:45:37,👍
Bambang Wijaya,5,2024-03-02 09:36:32,Ok
Tita Sri,1,2024-03-02 07:46:21,Ini gimana sih padahal udah beli paket lama banget kesel tolong di perbaiki 🙏🙏🙏🙏
Diana Natalia Tnunay,5,2024-03-02 04:36:20,"Belajar di Ruang kita,,membuat kita jadi yang tidak tau menjadi tau,,💪💪💪🥰🥰"
Arina Rrq01,5,2024-03-02 04:01:03,Aku suka bgt sama ruang guru ini karena dari sini aku bisa pinter makasih 😘ruang guru
Nesaaleeza Collection,3,2024-03-02 01:17:19,"Aplikasinya bagus tapi lama pendaftarannya tolong dong harus memasukan nomor telepon, lah nama sekolah"
Feronicha 05,4,2024-03-01 23:34:22,Bagus sekali buat anak sekolah
Agus Wedi,5,2024-03-01 14:59:28,"mudahh di pengertiii,wajib download siii,dari tugass yang sulitt menjadi mudahh"
Zahra,5,2024-03-01 14:32:57,Bagus sih reting 5
Syakila Aprilia,5,2024-03-01 14:29:33,aku sih kurang ngerti tpi bagus
melonn,5,2024-03-01 10:52:54,"Pemberian materi dari semua pelajaran yang ada sudah benar dan baik, namun kalau memilih gambar yang jelas, jangan bisa pusing"
wulan dad,5,2024-03-01 06:57:46,Semoga Di Percepatkan Ya Aku Ingin Memain nya Playstore
Naylarama Rama,5,2024-03-01 05:31:05,Sangat baikk
Satiman Aris,5,2024-02-29 22:16:36,Ok sangat membantu
Pori Pori,1,2024-02-29 17:55:55,Iklan nya ngagetin
Amelia Hanoen,5,2024-02-29 13:52:20,Bagus
R V S D,5,2024-02-29 11:24:47,bakal balik lagi kesini kalo lulus snbt april 2024
Danish Irawan,4,2024-02-29 09:17:12,NGELAG MULU CHAT KADANG GABISA VIDEO BUFFERIBNG DAN MASUK RUANGGURUNYA LAMA BANGET
Boni tambunan Tambunan,5,2024-02-28 08:21:32,Ini sangat membantu saya dalam belajar
